Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Performance_Score,Projects_Completed,Salary
EMP_001,60,Female,Master,IT,21,40,1,34,135500
EMP_002,50,Male,Master,Finance,11,41,2,23,102000
EMP_003,36,Non-binary,Master,Finance,7,41,3,16,90400
EMP_004,29,Male,Bachelor,IT,0,49,5,11,69400
EMP_005,42,Male,Bachelor,Operations,9,37,3,20,79100
EMP_006,60,Female,Bachelor,Marketing,29,37,3,53,146700
EMP_007,40,Male,Bachelor,Marketing,13,37,1,23,90400
EMP_008,44,Male,Bachelor,HR,22,37,2,38,126100
EMP_009,32,Female,Bachelor,Operations,0,37,5,12,55900
EMP_010,32,Female,Master,Finance,1,44,5,14,83200
EMP_011,45,Male,PhD,IT,18,45,1,29,142500
EMP_012,57,Female,Bachelor,HR,16,37,5,38,115100
EMP_013,45,Female,Bachelor,Marketing,13,36,3,27,91900
EMP_014,24,Female,Bachelor,Finance,0,41,4,9,60800
EMP_015,43,Male,PhD,Finance,7,37,3,18,109000
EMP_016,23,Female,PhD,IT,1,42,3,8,87200
EMP_017,45,Non-binary,Bachelor,Marketing,12,40,3,26,95600
EMP_018,51,Female,Master,Operations,24,33,3,43,145500
EMP_019,59,Female,Bachelor,Finance,8,46,2,19,81400
EMP_020,23,Male,Bachelor,IT,1,47,1,4,54100
EMP_021,42,Male,Bachelor,Operations,10,37,3,22,86500
EMP_022,54,Female,Bachelor,Marketing,3,38,4,12,68000
EMP_023,33,Female,PhD,Finance,9,41,2,18,113300
EMP_024,43,Female,Master,Operations,12,41,3,24,103900
EMP_025,46,Male,Bachelor,Operations,1,42,5,15,65800
EMP_026,48,Female,Master,Operations,22,48,1,35,140600
EMP_027,49,Female,PhD,Finance,4,39,3,15,92500
EMP_028,37,Female,PhD,Finance,10,36,3,21,119500
EMP_029,36,Male,Bachelor,HR,5,34,4,19,75400
EMP_030,24,Non-binary,Bachelor,Marketing,1,37,2,8,57900
EMP_031,58,Male,Bachelor,IT,20,39,3,38,127200
EMP_032,28,Male,Bachelor,Operations,1,47,4,11,63700
EMP_033,42,Female,Bachelor,HR,3,37,5,14,71500
EMP_034,30,Female,Master,IT,8,40,3,18,99400
EMP_035,60,Female,Bachelor,HR,37,39,3,65,180000
EMP_036,39,Male,Bachelor,Finance,1,44,3,11,64900
EMP_037,25,Female,Bachelor,Operations,0,50,4,9,60700
EMP_038,46,Female,Bachelor,IT,4,37,3,16,73200
EMP_039,35,Non-binary,Bachelor,IT,8,38,1,15,72800
EMP_040,30,Male,Bachelor,IT,5,44,5,20,84500
EMP_041,47,Male,Bachelor,IT,25,42,3,43,150200
EMP_042,23,Male,Bachelor,IT,1,47,3,10,60200
EMP_043,41,Male,Bachelor,HR,9,42,2,21,78500
EMP_044,49,Female,Master,Operations,21,38,3,40,138500
EMP_045,28,Male,Bachelor,Finance,4,42,3,15,73200
EMP_046,29,Male,Bachelor,Finance,2,44,3,12,63400
EMP_047,56,Female,Bachelor,Finance,30,43,2,53,158300
EMP_048,35,Female,PhD,Finance,5,42,3,16,97000
EMP_049,38,Male,Bachelor,HR,7,44,5,21,89400
EMP_050,57,Male,Bachelor,Marketing,33,44,1,55,160700
EMP_051,25,Female,PhD,Operations,3,45,5,17,103400
EMP_052,23,Male,Bachelor,IT,0,42,3,10,58200
EMP_053,27,Male,Master,Marketing,0,39,4,10,66800
EMP_054,25,Male,Bachelor,Finance,0,40,4,9,60000
EMP_055,50,Male,Bachelor,Marketing,6,44,3,18,74300
EMP_056,39,Female,Bachelor,Operations,9,36,4,23,85800
EMP_057,47,Male,Master,IT,12,41,4,28,123000
EMP_058,55,Female,Bachelor,IT,16,38,3,34,111000
EMP_059,31,Female,PhD,Operations,9,40,3,21,107600
EMP_060,57,Male,Bachelor,Operations,20,45,3,37,124700
EMP_061,35,Male,Master,Finance,11,40,4,25,114800
EMP_062,52,Male,Bachelor,IT,29,40,4,51,158200
EMP_063,36,Female,Master,Marketing,9,34,4,22,97900
EMP_064,29,Male,Bachelor,HR,5,42,3,15,68000
EMP_065,35,Male,Bachelor,HR,1,42,4,10,62200
EMP_066,44,Female,Bachelor,Operations,21,48,2,39,124000
EMP_067,42,Male,Bachelor,Finance,10,38,3,21,84100
EMP_068,37,Male,Bachelor,HR,0,40,1,4,45100
EMP_069,39,Male,Bachelor,IT,3,40,3,10,68600
EMP_070,45,Male,Master,Operations,18,46,3,35,128300
EMP_071,47,Female,Bachelor,Marketing,25,39,3,47,137100
EMP_072,46,Male,Master,Operations,20,41,3,36,130600
EMP_073,50,Female,PhD,Marketing,10,42,3,24,115300
EMP_074,36,Male,Bachelor,Operations,7,40,3,18,79100
EMP_075,22,Female,Master,Operations,0,38,2,7,56400
EMP_076,46,Male,Master,Operations,10,40,3,21,97400
EMP_077,28,Male,Bachelor,Marketing,3,44,2,11,60300
EMP_078,30,Non-binary,Bachelor,Marketing,0,35,1,5,48300
EMP_079,45,Female,Bachelor,Operations,6,40,3,15,74600
EMP_080,22,Female,Bachelor,HR,0,37,3,10,47700
EMP_081,29,Male,Bachelor,Finance,7,44,3,19,84400
EMP_082,45,Male,Bachelor,Finance,2,33,3,12,56400
EMP_083,32,Male,Master,Finance,5,37,3,17,87200
EMP_084,38,Female,Master,Marketing,1,41,4,12,77000
EMP_085,29,Male,Bachelor,Marketing,6,46,3,18,81000
EMP_086,56,Female,Bachelor,HR,23,39,3,43,134200
EMP_087,56,Male,Bachelor,Finance,21,37,1,34,119200
EMP_088,54,Non-binary,Bachelor,Finance,4,47,3,16,70600
EMP_089,26,Male,Bachelor,Operations,0,34,3,9,44800
EMP_090,60,Female,Master,Marketing,35,31,3,62,173600
EMP_091,49,Male,Bachelor,Finance,14,41,3,29,108600
EMP_092,28,Male,Master,HR,3,37,3,12,72700
